symptom,condition,icd10,speciality,procedure,diagnostics,department
hearing loss gradually,Sensorineural Hearing Loss,H90.3,ENT,Cochlear Implant,"Audiometry,BERA,Tympanometry",ENT
blocked nose and facial pain,Sinusitis,J32.9,ENT,Functional Endoscopic Sinus Surgery,"CT Sinuses,Nasal Endoscopy,CBC",ENT
sore throat and difficulty swallowing,Tonsillitis,J35.0,ENT,Tonsillectomy,"Throat Swab,CBC,ASO Titer",ENT
hoarse voice for weeks,Vocal Cord Nodules,J38.2,ENT,Microlaryngoscopy,"Laryngoscopy,Voice Analysis,CT Neck",ENT
snoring and breathing pauses in sleep,Obstructive Sleep Apnea,G47.3,ENT,UPPP Surgery,"Sleep Study,Nasopharyngoscopy,CBC",ENT
nosebleed frequently,Epistaxis,R04.0,ENT,Nasal Cauterization,"CBC,Coagulation Profile,BP Check",ENT
red itchy patches on skin,Psoriasis,L40.9,dermatology,Biologic Therapy,"Skin Biopsy,CBC,LFT",Dermatology
hair falling in patches,Alopecia Areata,L63.9,dermatology,Intralesional Steroid Injection,"Trichoscopy,Thyroid Profile,CBC",Dermatology
acne on face and back,Acne Vulgaris,L70.0,dermatology,Isotretinoin Therapy,"Hormonal Profile,LFT,CBC",Dermatology
skin rash with fluid filled blisters,Chickenpox,B01.9,dermatology,Antiviral Therapy,"Tzanck Smear,CBC,VZV IgM",Dermatology
white patches on skin,Vitiligo,L80,dermatology,Phototherapy,"Thyroid Profile,CBC,ANA",Dermatology
itchy skin all over body,Eczema,L30.9,dermatology,Topical Steroid Therapy,"Skin Biopsy,IgE,Allergy Test",Dermatology
fungal infection between toes,Tinea Pedis,B35.3,dermatology,Antifungal Therapy,"KOH Examination,Skin Scraping,CBC",Dermatology
burning sensation while urinating,Urinary Tract Infection,N39.0,urology,Antibiotic Therapy,"Urine Routine,Urine Culture,CBC",Urology
blood in urine,Kidney Stones,N20.0,urology,ESWL,"KUB X-ray,CT KUB,Urine Routine",Urology
difficulty in urination in elderly male,Benign Prostatic Hyperplasia,N40,urology,TURP,"PSA,Uroflowmetry,Ultrasound KUB",Urology
pain in lower back and groin,Ureteric Calculus,N20.1,urology,Ureteroscopy,"CT KUB,Urine Routine,KFT",Urology
inability to hold urine,Urinary Incontinence,N39.3,urology,Pelvic Floor Therapy,"Urine Routine,Urodynamics,Ultrasound KUB",Urology
swollen painful testicle,Epididymo-orchitis,N45.9,urology,Antibiotic Therapy,"Scrotal Ultrasound,CBC,Urine Culture",Urology
weak urine stream,Urethral Stricture,N35.9,urology,Urethroplasty,"Uroflowmetry,RGU,Urethroscopy",Urology
feeling sad and hopeless for weeks,Major Depressive Disorder,F32.9,psychiatry,Cognitive Behavioral Therapy,"PHQ-9,TSH,CBC",Psychiatry
excessive worry and restlessness,Generalized Anxiety Disorder,F41.1,psychiatry,Anxiolytic Therapy,"GAD-7,TSH,CBC",Psychiatry
hearing voices and seeing things,Schizophrenia,F20.9,psychiatry,Antipsychotic Therapy,"MRI Brain,CBC,LFT",Psychiatry
extreme mood swings,Bipolar Disorder,F31.9,psychiatry,Mood Stabilizer Therapy,"Thyroid Profile,CBC,EEG",Psychiatry
not eating and extreme weight loss,Anorexia Nervosa,F50.0,psychiatry,Nutritional Rehabilitation,"CBC,LFT,ECG",Psychiatry
unable to sleep for weeks,Insomnia,G47.0,psychiatry,Sleep Cognitive Therapy,"Sleep Study,TSH,CBC",Psychiatry
repetitive thoughts and rituals,OCD,F42.9,psychiatry,Exposure Response Prevention Therapy,"PHQ-9,MRI Brain,CBC",Psychiatry
swelling in legs and foamy urine,Nephrotic Syndrome,N04.9,nephrology,Immunosuppressive Therapy,"Urine Routine,KFT,Renal Biopsy",Nephrology
decreased urine output,Acute Kidney Injury,N17.9,nephrology,Dialysis,"KFT,Urine Routine,Electrolytes",Nephrology
chronic fatigue with low urine,Chronic Kidney Disease,N18.9,nephrology,Hemodialysis,"KFT,CBC,Urine Routine",Nephrology
blood in urine with hypertension,IgA Nephropathy,N02.8,nephrology,ACE Inhibitor Therapy,"Renal Biopsy,KFT,Urine Routine",Nephrology
recurrent kidney infections,Pyelonephritis,N12,nephrology,IV Antibiotic Therapy,"Urine Culture,KFT,Ultrasound KUB",Nephrology
muscle cramps and weakness,Electrolyte Imbalance,E87.8,nephrology,Electrolyte Correction,"Electrolytes,KFT,ECG",Nephrology
high creatinine levels,Renal Failure,N19,nephrology,Renal Replacement Therapy,"KFT,CBC,Urine Routine",Nephrology
wheezing and breathlessness,Asthma,J45.9,pulmonology,Bronchodilator Therapy,"Spirometry,Chest X-ray,CBC",Pulmonology
chronic cough with sputum,COPD,J44.9,pulmonology,Pulmonary Rehabilitation,"Spirometry,Chest CT,ABG",Pulmonology
sudden chest pain and breathlessness,Pulmonary Embolism,I26.9,pulmonology,Thrombolysis,"CT Pulmonary Angiography,D-Dimer,ECG",Pulmonology
fever with productive cough,Pneumonia,J18.9,pulmonology,Antibiotic Therapy,"Chest X-ray,CBC,Sputum Culture",Pulmonology
coughing blood with weight loss,Pulmonary Tuberculosis,A15.0,pulmonology,Anti-TB Therapy,"Sputum AFB,Chest X-ray,CBNAAT",Pulmonology
breathing difficulty while lying down,Pleural Effusion,J90,pulmonology,Thoracentesis,"Chest X-ray,Ultrasound Chest,LFT",Pulmonology
progressive breathlessness with dry cough,Pulmonary Fibrosis,J84.1,pulmonology,Antifibrotic Therapy,"HRCT Chest,Spirometry,ABG",Pulmonology
